"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-17-2024 00:00","1713312003","0.905","0.065","0.01"
"05-17-2024 00:00","1715904003","0.925","0.055","0.0105"
"06-16-2024 00:00","1718496004","0.925","0.055","0.01"
"07-16-2024 00:00","1721088002","0.945","0.0355","0.0105"
"08-15-2024 00:00","1723680002","0.9725","0.0215","0.0055"
"09-14-2024 00:00","1726272002","0.979","0.015","0.0035"
"10-14-2024 00:00","1728864002","0.9845","0.01","0.0025"
"11-04-2024 05:38","1730698682","0.979","0.014","0.0025"
