"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-17-2024 00:00","1713312003","0.905","0.075","0.0115"
"05-17-2024 00:00","1715904003","0.915","0.07","0.0125"
"06-16-2024 00:00","1718496004","0.915","0.075","0.0125"
"07-16-2024 00:00","1721088002","0.925","0.065","0.0115"
"08-15-2024 00:00","1723680002","0.962","0.034","0.0105"
"09-14-2024 00:00","1726272002","0.977","0.0205","0.0025"
"10-14-2024 00:00","1728864002","0.9815","0.01","0.002"
"11-04-2024 05:48","1730699282","0.985","0.0145","0.0035"
