"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-17-2024 00:00","1713312003","0.905","0.065","0.0105"
"05-17-2024 00:00","1715904003","0.915","0.055","0.0115"
"06-16-2024 00:00","1718496004","0.915","0.055","0.0115"
"07-16-2024 00:00","1721088002","0.945","0.045","0.011"
"08-15-2024 00:00","1723680002","0.984","0.009","0.0065"
"09-14-2024 00:00","1726272002","0.9835","0.008","0.0025"
"10-14-2024 00:00","1728864002","0.9825","0.0085","0.0055"
"11-04-2024 06:33","1730701982","0.985","0.008","0.003"
