"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-17-2024 00:00","1713312003","0.895","0.085","0.0125"
"05-17-2024 00:00","1715904003","0.895","0.075","0.013"
"06-16-2024 00:00","1718496004","0.915","0.065","0.012"
"07-16-2024 00:00","1721088002","0.935","0.055","0.014"
"08-15-2024 00:00","1723680002","0.92","0.085","0.005"
"09-14-2024 00:00","1726272002","0.93","0.06","0.0045"
"10-14-2024 00:00","1728864002","0.925","0.075","0.0025"
"11-04-2024 06:03","1730700182","0.825","0.185","0.0005"
