"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-17-2024 00:00","1713312003","0.875","0.1","0.011"
"05-17-2024 00:00","1715904003","0.855","0.135","0.0105"
"06-16-2024 00:00","1718496004","0.77","0.22","0.0085"
"07-16-2024 00:00","1721088002","0.625","0.37","0.004"
"08-15-2024 00:00","1723680002","0.875","0.125","0.0025"
"09-14-2024 00:00","1726272002","0.885","0.115","0.0015"
"10-14-2024 00:00","1728864002","0.875","0.125","0.0015"
"11-04-2024 06:24","1730701442","0.885","0.12","0.0005"
