"Date (UTC)","Timestamp (UTC)","Donald Trump","Other","Kamala Harris"
"04-17-2024 00:00","1713312003","0.905","0.0135","0.065"
"05-17-2024 00:00","1715904003","0.925","0.0095","0.0245"
"06-16-2024 00:00","1718496004","0.92","0.009","0.021"
"07-16-2024 00:00","1721088002","0.94","0.0075","0.008"
"08-15-2024 00:00","1723680002","0.977","0.0075","0.011"
"09-14-2024 00:00","1726272002","0.9835","0.003","0.0065"
"10-14-2024 00:00","1728864002","0.979","0.005","0.008"
"11-04-2024 05:46","1730699162","0.989","0.003","0.003"
