"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-17-2024 00:00","1713312003","0.9145","0.07","0.0105"
"05-17-2024 00:00","1715904003","0.915","0.07","0.0105"
"06-16-2024 00:00","1718496004","0.9195","0.075","0.0105"
"07-16-2024 00:00","1721088002","0.953","0.0545","0.0065"
"08-15-2024 00:00","1723680002","0.9685","0.03","0.0035"
"09-14-2024 00:00","1726272002","0.971","0.0275","0.004"
"10-14-2024 00:00","1728864002","0.978","0.022","0.002"
"11-04-2024 06:00","1730700003","0.983","0.0155","0.0055"
