"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"03-18-2024 00:00","1710720003","0.485","0.515","0.0055"
"04-17-2024 00:00","1713312003","0.4","0.59","0.0075"
"05-17-2024 00:00","1715904003","0.585","0.22","0.006"
"06-16-2024 00:00","1718496004","0.645","0.325","0.007"
"07-16-2024 00:00","1721088002","0.775","0.215","0.007"
"08-15-2024 00:00","1723680002","0.485","0.515","0.0055"
"09-14-2024 00:00","1726272002","0.495","0.495","0.003"
"10-14-2024 00:00","1728864002","0.495","0.505","0.0025"
"11-04-2024 06:34","1730702042","0.595","0.405","0.0005"
