"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-17-2024 00:00","1713312003","0.855","0.115","0.0085"
"05-17-2024 00:00","1715904003","0.915","0.08","0.01"
"06-16-2024 00:00","1718496004","0.925","0.065","0.0075"
"07-16-2024 00:00","1721088002","0.925","0.055","0.006"
"08-15-2024 00:00","1723680002","0.815","0.185","0.0025"
"09-14-2024 00:00","1726272002","0.835","0.165","0.0015"
"10-14-2024 00:00","1728864002","0.905","0.095","0.0025"
"11-04-2024 05:23","1730697782","0.93","0.066","0.0005"
