"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-17-2024 00:00","1713312003","0.915","0.075","0.0105"
"05-17-2024 00:00","1715904003","0.915","0.065","0.011"
"06-16-2024 00:00","1718496004","0.925","0.065","0.0105"
"07-16-2024 00:00","1721088002","0.905","0.095","0.0085"
"08-15-2024 00:00","1723680002","0.9645","0.032","0.0085"
"09-14-2024 00:00","1726272002","0.9675","0.0295","0.003"
"10-14-2024 00:00","1728864002","0.9685","0.0315","0.0015"
"11-04-2024 06:19","1730701142","0.9775","0.022","0.003"
