"Date (UTC)","Timestamp (UTC)","Donald Trump","Other","Kamala Harris"
"04-17-2024 00:00","1713312003","0.905","0.011","0.075"
"05-17-2024 00:00","1715904003","0.905","0.0115","0.065"
"06-16-2024 00:00","1718496004","0.955","0.0095","0.045"
"07-16-2024 00:00","1721088002","0.93","0.01","0.043"
"08-15-2024 00:00","1723680002","0.9605","0.0055","0.034"
"09-14-2024 00:00","1726272002","0.974","0.0085","0.022"
"10-14-2024 00:00","1728864002","0.9775","0.005","0.0115"
"11-04-2024 06:22","1730701322","0.9815","0.0095","0.0045"
