"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-17-2024 00:00","1713312003","0.905","0.075","0.012"
"05-17-2024 00:00","1715904003","0.915","0.07","0.0115"
"06-16-2024 00:00","1718496004","0.915","0.065","0.0105"
"07-16-2024 00:00","1721088002","0.945","0.043","0.009"
"08-15-2024 00:00","1723680002","0.9655","0.03","0.0085"
"09-14-2024 00:00","1726272002","0.968","0.026","0.0065"
"10-14-2024 00:00","1728864002","0.98","0.0125","0.0035"
"11-04-2024 06:21","1730701263","0.984","0.0115","0.003"
