"Date (UTC)","Timestamp (UTC)","Donald Trump","Kamala Harris","Other"
"04-17-2024 00:00","1713312003","0.885","0.085","0.0125"
"05-17-2024 00:00","1715904003","0.885","0.075","0.021"
"06-16-2024 00:00","1718496004","0.895","0.07","0.0355"
"07-16-2024 00:00","1721088002","0.925","0.045","0.0275"
"08-15-2024 00:00","1723680002","0.865","0.125","0.0025"
"09-14-2024 00:00","1726272002","0.915","0.065","0.002"
"10-14-2024 00:00","1728864002","0.925","0.065","0.002"
"11-04-2024 06:17","1730701022","0.895","0.095","0.004"
