"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-17-2024 00:00","1713312003","0.905","0.075","0.01"
"05-17-2024 00:00","1715904003","0.91","0.075","0.0105"
"06-16-2024 00:00","1718496004","0.915","0.065","0.0095"
"07-16-2024 00:00","1721088002","0.92","0.075","0.01"
"08-15-2024 00:00","1723680002","0.9695","0.0225","0.0055"
"09-14-2024 00:00","1726272002","0.9765","0.0215","0.003"
"10-14-2024 00:00","1728864002","0.979","0.0195","0.003"
"11-04-2024 05:53","1730699582","0.982","0.0145","0.0015"
