"Date (UTC)","Timestamp (UTC)","Kamala Harris","Donald Trump","Other"
"04-17-2024 00:00","1713312003","0.905","0.075","0.0135"
"05-17-2024 00:00","1715904003","0.915","0.055","0.0115"
"06-16-2024 00:00","1718496004","0.925","0.075","0.011"
"07-16-2024 00:00","1721088002","0.915","0.09","0.007"
"08-15-2024 00:00","1723680002","0.972","0.025","0.0035"
"09-14-2024 00:00","1726272002","0.972","0.0255","0.0025"
"10-14-2024 00:00","1728864002","0.966","0.0335","0.002"
"11-04-2024 06:16","1730700962","0.9775","0.0235","0.0005"
