ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Harris,9/20/2020 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,9855
Warren,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/20/2020 12:00:00 AM,$0.58,$0.59,$0.57,$0.57,44752
Sanders,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Pence,9/20/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3407
Trump,9/20/2020 12:00:00 AM,$0.45,$0.46,$0.45,$0.46,39326
Gillibrand,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Haley,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Buttigieg,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,9/20/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,5580
Steyer,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
West,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,9/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/21/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,5829
Warren,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/21/2020 12:00:00 AM,$0.57,$0.59,$0.57,$0.58,52877
Sanders,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Pence,9/21/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2316
Trump,9/21/2020 12:00:00 AM,$0.46,$0.46,$0.44,$0.46,59265
Gillibrand,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Buttigieg,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,9/21/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1609
Steyer,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,76
West,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,9/21/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/22/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,27917
Warren,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,11
Booker,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,300
Kasich,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/22/2020 12:00:00 AM,$0.58,$0.59,$0.58,$0.58,43250
Sanders,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Pence,9/22/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,9491
Trump,9/22/2020 12:00:00 AM,$0.46,$0.46,$0.44,$0.46,50521
Gillibrand,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Buttigieg,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Gabbard,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,9/22/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,18819
Steyer,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,198
West,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,9/22/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,9/23/2020 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,9825
Warren,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,9/23/2020 12:00:00 AM,$0.58,$0.59,$0.57,$0.57,42425
Sanders,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Pence,9/23/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,13464
Trump,9/23/2020 12:00:00 AM,$0.46,$0.46,$0.45,$0.46,56206
Gillibrand,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Buttigieg,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gabbard,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,9/23/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,8104
Steyer,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1430
West,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Hawkins,9/23/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Harris,9/24/2020 12:00:00 AM,$0.03,$0.05,$0.03,$0.03,7757
Warren,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1001
Booker,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,9/24/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
